Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Total Reps,Total Sets,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2026-04-15 08:59:49,false,"Gennevilliers Walking","0.66","45","00:10:30","103","124","0.3","77","122","16:02","7:36","4","2","0.81","--","--","--","--","--","0.0","--","--","950","--","--","-1","No","00:10:30","1","--","--","--","--","--","--","--","--","--","00:07:03","00:10:30","28","32"
Walking,2026-04-14 09:03:18,false,"Gennevilliers Walking","0.61","45","00:09:02.2","115","131","0.4","91","125","14:52","6:07","3","2","0.74","--","--","--","--","--","0.0","--","--","878","--","--","--","No","00:09:02.2","1","--","--","--","--","--","--","--","--","--","00:07:26","00:09:02.2","28","32"
Walking,2026-04-13 08:56:53,false,"Gennevilliers Walking","0.63","44","00:10:24","102","116","0.3","77","126","16:23","7:00","3","2","0.80","--","--","--","--","--","0.0","--","--","880","--","--","--","No","00:10:24","1","--","--","--","--","--","--","--","--","--","00:06:33","00:10:24","28","32"
Walking,2026-04-12 14:12:54,false,"Vélizy-Villacoublay Walking","2.66","177","00:48:09","101","130","0.5","77","235","18:06","7:21","28","29","0.72","--","--","--","--","--","0.0","--","--","4,098","--","--","-5","No","00:12:08","3","--","--","--","--","--","--","--","--","--","00:41:08","00:48:09","171","183"
Walking,2026-04-11 15:34:55,false,"Vélizy-Villacoublay Walking","1.94","133","00:34:29","106","128","0.5","77","188","17:47","9:18","12","15","0.73","--","--","--","--","--","0.0","--","--","2,900","--","--","-2","No","00:15:43","2","--","--","--","--","--","--","--","--","--","00:26:52","00:34:29","174","184"
Walking,2026-04-10 21:38:28,false,"Paris Walking","0.87","66","00:16:29","103","119","0.3","72","159","19:03","4:47","7","13","0.73","--","--","--","--","--","0.0","--","--","1,218","--","--","--","No","00:16:29","1","--","--","--","--","--","--","--","--","--","00:12:44","00:16:36","35","49"
Walking,2026-04-10 19:24:28,false,"Paris Walking","0.31","20","00:06:34.9","80","89","0.1","68","113","21:34","8:45","11","5","0.69","--","--","--","--","--","0.0","--","--","466","--","--","--","No","00:06:34.9","1","--","--","--","--","--","--","--","--","--","00:04:06","00:06:34.9","40","49"
Walking,2026-04-10 09:46:51,false,"Gennevilliers Walking","0.68","45","00:11:36","98","115","0.2","69","122","17:05","8:35","3","1","0.85","--","--","--","--","--","0.0","--","--","956","--","--","-3","No","00:11:36","1","--","--","--","--","--","--","--","--","--","00:07:45","00:11:36","28","32"
Walking,2026-04-09 10:36:15,false,"Gennevilliers Walking","1.18","70","00:16:09","107","121","0.4","93","234","13:40","6:10","--","--","0.82","--","--","--","--","--","0.0","--","--","1,574","--","--","-1","No","00:04:52.0","2","--","--","--","--","--","--","--","--","--","00:12:51","00:16:09","28","32"
Walking,2026-04-08 09:45:37,false,"Gennevilliers Walking","0.57","38","00:07:54.2","110","128","0.3","93","124","13:57","5:27","4","2","0.77","--","--","--","--","--","0.0","--","--","826","--","--","--","No","00:07:54.2","1","--","--","--","--","--","--","--","--","--","00:06:32","00:07:54.2","28","32"
Walking,2026-04-07 09:55:02,false,"Gennevilliers Walking","0.64","46","00:10:16","102","120","0.3","74","136","15:57","7:28","3","2","0.85","--","--","--","--","--","0.0","--","--","840","--","--","--","No","00:10:16","1","--","--","--","--","--","--","--","--","--","00:06:07","00:10:16","28","32"
Walking,2026-04-06 18:27:46,false,"Paris Walking","1.23","79","00:20:29","97","135","0.4","73","150","16:39","7:04","6","6","0.95","--","--","--","--","--","0.0","--","--","1,696","--","--","-1","No","00:06:26.4","2","--","--","--","--","--","--","--","--","--","00:14:45","00:20:29","37","46"
Walking,2026-04-06 17:37:55,false,"Paris Walking","1.02","67","00:16:58","98","109","0.3","85","128","16:40","6:20","--","3","0.61","--","--","--","--","--","0.0","--","--","1,558","--","--","-1","No","00:00:16.6","3","--","--","--","--","--","--","--","--","--","00:13:17","00:16:58","37","44"
Walking,2026-04-06 14:53:05,false,"Paris Walking","0.93","70","00:14:58","112","134","0.5","70","143","16:11","4:40","8","3","0.88","--","--","--","--","--","0.0","--","--","1,160","--","--","-1","No","00:14:58","1","--","--","--","--","--","--","--","--","--","00:09:55","00:14:58","37","45"
Walking,2026-04-06 13:54:38,false,"Paris Walking","0.76","74","00:13:22","118","140","0.8","82","158","17:34","7:04","--","10","0.70","--","--","--","--","--","0.0","--","--","1,140","--","--","-2","No","00:13:22","1","--","--","--","--","--","--","--","--","--","00:10:05","00:13:22","34","45"
Walking,2026-04-04 18:04:25,false,"Vélizy-Villacoublay Walking","0.31","25","00:06:46.9","95","109","0.1","58","150","21:44","7:36","1","10","0.80","--","--","--","--","--","0.0","--","--","488","--","--","--","No","00:06:46.9","1","--","--","--","--","--","--","--","--","--","00:04:37","00:06:46.9","169","180"
Running,2026-04-04 13:14:48,false,"Paris Running","0.22","14","00:03:18.5","100","112","0.1","80","129","14:52","7:52","--","11","0.73","8.2","5.9","457","--","87","0.0","61","164","294","--","--","--","No","00:03:18.5","1","--","--","--","--","--","--","--","--","--","00:02:20","00:03:18.5","32","44"
Treadmill Running,2026-04-02 18:58:28,false,"Treadmill Running","1.86","123","00:22:01","117","144","1.2","110","165","11:49","5:47","--","--","0.85","8.8","7.3","342","--","164","0.0","114","281","2,422","--","--","-2","No","00:09:49.0","2","--","--","--","--","--","--","--","--","--","00:17:03","00:22:01","--","--"
